iter	Passed	Remaining
722	2835	1086
723	2841	1083
724	2844	1079
725	2848	1074
726	2851	1070
727	2855	1066
728	2859	1062
729	2862	1058
730	2865	1054
731	2869	1050
732	2873	1046
733	2877	1042
734	2880	1038
735	2884	1034
736	2888	1030
737	2892	1026
738	2895	1022
739	2899	1018
740	2902	1014
741	2906	1010
742	2910	1006
743	2913	1002
744	2917	998
745	2921	994
746	2925	990
747	2928	986
748	2932	982
749	2935	978
750	2939	974
751	2943	970
752	2946	966
753	2949	962
754	2954	958
755	2957	954
756	2960	950
757	2964	946
758	2967	942
759	2991	944
760	3001	942
761	3010	940
762	3014	936
763	3021	933
764	3027	929
765	3030	925
766	3035	922
767	3039	918
768	3043	914
769	3046	910
770	3051	906
771	3054	902
772	3058	898
773	3061	893
774	3064	889
775	3069	886
776	3073	882
777	3076	877
778	3080	873
779	3085	870
780	3089	866
781	3092	862
782	3095	857
783	3100	854
784	3104	850
785	3107	846
786	3110	841
787	3114	837
788	3118	833
789	3121	829
790	3125	825
791	3128	821
792	3133	817
793	3136	813
794	3139	809
795	3143	805
796	3149	802
797	3155	798
798	3161	795
799	3166	791
800	3170	787
801	3174	783
802	3181	780
803	3185	776
804	3189	772
805	3193	768
806	3198	764
807	3201	760
808	3205	756
809	3211	753
810	3215	749
811	3219	745
812	3222	741
813	3228	737
814	3232	733
815	3235	729
816	3238	725
817	3243	721
818	3246	717
819	3250	713
820	3253	709
821	3257	705
822	3261	701
823	3264	697
824	3268	693
825	3271	689
826	3276	685
827	3279	681
828	3282	677
829	3286	673
830	3289	669
831	3294	665
832	3297	661
833	3300	656
834	3305	653
835	3312	649
836	3317	645
837	3321	642
838	3326	638
839	3330	634
840	3333	630
841	3337	626
842	3342	622
843	3345	618
844	3348	614
845	3353	610
846	3358	606
847	3361	602
848	3364	598
849	3368	594
850	3373	590
851	3376	586
852	3379	582
853	3383	578
854	3386	574
855	3391	570
856	3395	566
857	3398	562
858	3401	558
859	3406	554
860	3410	550
861	3413	546
862	3416	542
863	3421	538
864	3424	534
865	3428	530
866	3431	526
867	3435	522
868	3439	518
869	3442	514
870	3446	510
871	3449	506
872	3454	502
873	3458	498
874	3463	494
875	3470	491
876	3474	487
877	3477	483
878	3481	479
879	3485	475
880	3489	471
881	3492	467
882	3495	463
883	3499	459
884	3504	455
885	3509	451
886	3516	448
887	3523	444
888	3527	440
889	3531	436
890	3537	432
891	3542	428
892	3548	425
893	3554	421
894	3558	417
895	3562	413
896	3569	409
897	3574	405
898	3578	402
899	3584	398
900	3588	394
901	3592	390
902	3596	386
903	3602	382
904	3607	378
905	3611	374
906	3620	371
907	3626	367
908	3637	364
909	3641	360
910	3645	356
911	3650	352
912	3653	348
913	3656	344
914	3660	340
915	3665	336
916	3668	332
917	3671	327
918	3675	323
919	3678	319
920	3683	315
921	3686	311
922	3690	307
923	3693	303
924	3698	299
925	3701	295
926	3704	291
927	3708	287
928	3713	283
929	3716	279
930	3720	275
931	3723	271
932	3726	267
933	3731	263
934	3735	259
935	3738	255
936	3741	251
937	3746	247
938	3750	243
939	3753	239
940	3756	235
941	3761	231
942	3764	227
943	3767	223
944	3771	219
945	3774	215
946	3779	211
947	3782	207
948	3785	203
949	3789	199
950	3794	195
951	3797	191
952	3801	187
953	3804	183
954	3808	179
955	3813	175
956	3816	171
957	3819	167
958	3825	163
959	3830	159
960	3835	155
961	3841	151
962	3862	148
963	3870	144
964	3878	140
965	3883	136
966	3887	132
967	3893	128
968	3896	124
969	3900	120
970	3903	116
971	3908	112
972	3912	108
973	3915	104
974	3918	100
975	3922	96
976	3926	92
977	3929	88
978	3933	84
979	3936	80
980	3941	76
981	3944	72
982	3947	68
983	3951	64
984	3956	60
985	3959	56
986	3963	52
987	3966	48
988	3970	44
989	3974	40
990	3979	36
991	3983	32
992	3992	28
993	3995	24
994	3999	20
995	4002	16
996	4007	12
997	4011	8
998	4014	4
999	4017	0
